id,pos,name
585120,"(-1.4305534,51.8553749)",The White Horse
603242,"(-1.2502902,50.9565412)",Robin Hood
608191,"(-1.31197,50.8806)",Vine Inn
611105,"(-1.42461,53.7281)",The Mexborough Arms
611109,"(-1.4617749,53.6746585)",The Kings Arms
611304,"(-1.4706048,53.5286044)",Ship Inn
611926,"(-1.31733,50.8829)",Fox and Hounds/Lone Barn
648882,"(-0.0918935,51.1362188)",Dukes Head
656982,"(0.6883706,52.6519748)",The Station
656984,"(0.6888368,52.6476756)",Greyhound
657111,"(-1.304305,50.8817694)",Jolly Sailor
687275,"(-0.1907801,51.6475276)",The Old Red Lion
692325,"(-2.7136229,53.1039952)",The Pheasant
692327,"(-2.6508731,53.1161142)",The Nags Head
692328,"(-2.646203,53.1184928)",Dysart Arms
696491,"(-1.1098075,50.720483)",Seaview Hotel
696510,"(-1.0739324,50.681946)",Crab & Lobster
820090,"(-1.518587,53.7258813)",The Nook
1529094,"(-1.5033504,53.6810328)",Harry's Bar
2433320,"(-1.5427212,50.6717547)",High Down Inn
2509984,"(0.7633634,50.9389453)",William the Conqueror
3788923,"(-0.4783288,52.2522207)",Fox and Hounds
3798140,"(-1.2086597,50.7094791)",White Hart Inn
3835145,"(-2.8379403,53.1844793)",Ring o' Bells PH
3865117,"(-0.5036502,52.164493)",Fox and Hounds
3866129,"(-0.4847831,52.1488521)",The Anglers Rest
4082703,"(-0.4920456,52.1601477)",The Star
4156515,"(-0.4688266,52.1413665)",The Wellington Arms
4156519,"(-0.4684423,52.1419264)",The Balloon
4160491,"(-0.4325746,52.1459306)",The New Sportsman
4372734,"(-1.2517664,50.632149)",The Griffin
4825630,"(-0.4657872,52.1330884)",The Kings Arms
5024948,"(-0.4407783,52.1247935)",The Anchor
5045684,"(-0.3401749,52.0821249)",The Hare and Hounds
5046122,"(-0.3889219,52.1233166)",The Five Bells
5468439,"(-1.3648877,51.8799615)",The Killingworth Castle Inn
5660444,"(-1.5071322,51.8061523)",The Lamb Inn
5660446,"(-1.5036035,51.8063148)",Crawley Inn
6895872,"(-0.4830202,52.1398103)",The Kalooki Club
6935593,"(-0.4278577,52.1529968)",The Century
6935741,"(-0.4386519,52.14868)",The Queens Tavern
7117331,"(-0.476922,52.1348536)",The Paddington
7616495,"(-0.8146601,51.5264588)",Dew Drop Inn
7991864,"(-1.2195084,51.7577316)",The White Horse
8078328,"(-1.2464494,50.6860298)",Hare and Hounds
8078443,"(-1.2266187,50.72504)",The Sloop Inn
8080888,"(-1.2937046,50.7019744)",The Medina Railway Tavern
8082479,"(-1.1659274,50.7234224)",The Falcon
8084307,"(-1.1504577,50.6582648)",Fountain Inn
8084315,"(-1.1687344,50.6478693)",The Stag Inn
8085658,"(-0.4701926,52.1258739)",The Gardeners Arms
8087176,"(-0.4665777,52.1367416)",The Cross Keys
8088275,"(-1.466119,51.0204872)",The Wheatsheaf
8093987,"(-1.1242692,50.7167137)",The Wishing Well
8093988,"(-1.1634,50.7298258)",The Crown Inn
8093989,"(-1.1627699,50.7303229)",Fowlers
8093990,"(-1.1275373,50.7250642)",Boathouse
8093992,"(-1.5003,50.7061782)",The Kings Head
8093993,"(-1.5002743,50.7058957)",The Wheatsheaf  Inn
8093995,"(-1.3156164,50.6916574)",The Waverley
8098564,"(-1.0900202,50.6893316)",Village Inn
8098589,"(-1.1627161,50.72769)",Star Inn
8098590,"(-1.1631721,50.7281645)",The Castle
8098602,"(-1.1570312,50.7249204)",The Railway
8098619,"(-1.161418,50.7324998)",The Kasbar
8098620,"(-1.1543209,50.7297137)",Solent Inn
8098622,"(-1.1623862,50.7308003)",Black Sheep Bar
8098629,"(-1.146572,50.6573323)",Jolly Sailor
8147373,"(-1.3431582,50.6891613)",The Blacksmiths Arms
8148225,"(-1.435237,50.7008928)",Horse and Groom
8214555,"(-1.1743575,50.7179707)",Lake Huron
8245010,"(-1.2229985,50.6160366)",The Worsley
8245011,"(-1.222324,50.6138827)",Four Seasons Inn
8247042,"(-1.2541425,50.6330129)",The Taverners
8351679,"(-0.4465462,52.0097939)",The Jolly Cooper
8672098,"(-0.3162605,52.1466519)",The Horseshoes
8672100,"(-0.3156647,52.1473887)",The Salutation
8674952,"(-0.3541013,52.1573984)",The Beehive
8674955,"(-0.3437662,52.1516383)",The Anchor Inn
9400849,"(-1.2805509,50.7333565)",Folly Inn
9402796,"(-1.2907128,50.7507631)",The Lifeboat
9713550,"(-2.062212,50.617015)",Scott Arms
9940801,"(-0.4618278,52.1204828)",The Gloucester Arms
9943363,"(-0.4745553,52.1409683)",The Foresters Arms
10476529,"(-0.4888449,52.1197183)",The Smiths Arms
10476532,"(-0.4930315,52.1195992)",The Griffin
10537074,"(-1.3613853,50.8976812)",Millers Pond
10537178,"(-0.4940154,52.1191218)",Constitutional Club
10666818,"(-0.52368,53.2114105)",Mill Lodge
10672205,"(-0.5417357,53.1655599)",Three Horseshoes
10672206,"(-0.5419813,53.1671005)",Horse and Jockey
10850161,"(-1.9646283,52.412294)",The Great Stone
10936231,"(-1.3204375,50.7548639)",Portland Inn
10937758,"(-1.2983427,50.7521936)",Kingston Arms
10938308,"(-1.2958778,50.7593643)",Duke of York
11009741,"(-1.1175237,50.8387358)",The Cormorant
11078047,"(-1.1241594,50.8465692)",The Red Lion
11078049,"(-1.1368103,50.8435799)",The Wicor Mill
11081460,"(-1.5994562,54.9705125)",Pitcher & Piano
11146789,"(-1.6105608,54.9849995)",Bar at the Brandling
11235920,"(-1.6092561,54.9938554)",The Lonsdale
11237536,"(-1.602278,54.9702521)",The Waterline
11237825,"(-1.627127,54.9758031)",The Black Bull
11238973,"(-1.6276014,54.9690208)",Villa Victoria
11239420,"(-1.6251139,54.9646236)",The Globe
11243445,"(-1.6194751,54.9732796)",Rosie's Bar
11248221,"(-1.1671044,50.6503278)",Old Manor House
11248223,"(-1.1511572,50.6550677)",Ocean Deck Inn
11248229,"(-1.2456306,50.677256)",White Lion
11248231,"(-1.246372,50.6780083)",Dairymans Daughter
11248694,"(-1.61408,54.9698218)",Revolution
11292876,"(1.2473145,52.9182455)",Roman Camp Inn
11315981,"(-1.2035053,50.5955371)",The Central Hotel
11318413,"(-1.2058568,50.5953574)",The Blenheim
11320255,"(-1.1783082,50.625743)",The Crab
11320256,"(-1.1071041,50.6759292)",Propeller Inn
11320257,"(-1.1775912,50.6300714)",Plough
11438453,"(-1.1849949,50.7272336)",The Flemming Arms
11438455,"(-1.3113094,50.6913494)",The Eight Bells
11438458,"(-1.2450141,50.7169427)",Woodmans Arms
11439258,"(-1.1119796,50.6979612)",Vine Inn
11499774,"(-1.3687621,50.7188564)",Sportsmans Rest
11540358,"(-1.8195743,52.6683143)",Shoulder of Mutton
11600986,"(-1.2953048,50.6985959)",George Inn
11604640,"(-1.2977975,50.6993402)",The Castle Inn
11604643,"(-1.2988961,50.6986117)",Cask and Crispin
11604646,"(-1.2845088,50.7034075)",Princess Royal
11604647,"(-1.277406,50.652456)",Rookley Inn
11624592,"(-1.2063105,50.5933368)",Mill Bay Inn
11658439,"(-1.4828244,51.8722732)",The Bell
11658440,"(-1.482625,51.8726817)",Rose And Crown
11658441,"(-1.4822445,51.8727178)",The Bull
11663408,"(-1.4765408,51.8426129)",The Plough
11753367,"(-1.523339,51.0308521)",Bear and Ragged Staff
11784061,"(-1.1677387,50.7027989)",Ponda Rosa
11784063,"(-1.1432465,50.6812661)",Bugle Inn
11784065,"(-1.1438044,50.679939)",Wheatsheaf Inn
12006014,"(-1.1786028,50.6313446)",The Falcon
12007118,"(-1.2104096,50.5929499)",Spyglass Inn
12007139,"(-1.1782573,50.6251954)",King Harry
12016307,"(-1.1785684,50.6254778)",Village Inn
12130103,"(-0.628864,52.1617377)",The Three Fishes
12136725,"(-0.6261751,52.1625432)",The Three Cranes
12174196,"(-0.9700489,51.5072666)",Bird in Hand
12174263,"(-0.9828846,51.5188193)",The Hare and Hounds
12175225,"(-0.9295643,51.5081943)",Bottle and Glass
12242503,"(0.0278591,51.5920255)",Railway Bell
12243302,"(0.0281703,51.5760072)",The George
12245485,"(0.020594,51.58312)","The Eagle, Tobey Carvery"
12592252,"(-2.8145393,53.2742416)",Wheelwrights Arms PH
12610728,"(-1.4034937,51.8403361)",The Cock Inn
12612377,"(-1.3844203,51.825529)",The Bell
12612378,"(-1.3823111,51.8258528)",George & Dragon
12617413,"(-0.6015827,52.1927602)",The Royal Oak
12617429,"(-0.6060269,52.1872032)",The Fox
12637483,"(-1.1243096,51.0468039)",The Fox Inn
12644538,"(-1.298482,50.7646202)",Union Inn
12644539,"(-1.2980786,50.7610425)",Painters Arms
12644540,"(-1.2977709,50.7613124)",Anchor Inn
12644543,"(-1.2982593,50.7642572)",Waterside
12644546,"(-1.297607,50.7626719)",Fountain Inn
12644547,"(-1.2977851,50.7624958)",Vectis Tavern
12711677,"(-0.5299905,52.0943283)",The Cock Inn
12942967,"(-1.7563313,52.7322828)",The Old Boat
13034933,"(-1.1552125,50.6547621)",Old Comical
13118834,"(-2.943188,53.2125769)",Egerton Arms
13118875,"(-2.9603156,53.2228407)",Greyhound Inn PH
13353276,"(-0.444153,51.409935)",The Harrow
13395979,"(-1.5291712,50.685812)",Prince of Wales
13397613,"(-1.526007,50.6828647)",The Vine
13565105,"(-1.3528126,50.9325666)",Two Brothers
13806204,"(-0.9488374,51.4528844)",The Granby
13806205,"(-0.956002,51.4534663)",Kings Tavern
13806207,"(-0.9705757,51.4565512)",The Monks' Retreat
13876791,"(-0.4863178,52.1146051)",The Mulberry Bush
13876814,"(-0.4966327,52.1137559)",The Duke
13876818,"(-0.4977594,52.1121678)",The Royal Oak
13878867,"(-2.7428741,53.2175293)",The Golden Lion
13878868,"(-2.720985,53.2071932)",Oak PH
13884871,"(-0.5041856,52.1153175)",King William IV
13884875,"(-0.5070457,52.1147188)",The Half Moon
13890276,"(-0.9521361,51.4568374)",The Jolly Anglers
13910935,"(-2.3684174,51.3786642)",Green Park Tavern
13969467,"(-0.9358952,51.0565325)",Hawkley Inn
14071521,"(-0.7856075,53.9852259)",Fleece Inn
14164915,"(-0.9698005,51.4501737)",The Red Cow
14165219,"(-0.955499,51.4555716)",The Fishermans Cottage
14188108,"(-2.8969467,53.2886671)",The Grosvenor
14188127,"(-2.8964227,53.2849822)",The Westminster
14191820,"(-1.2826822,51.7835152)",The Plough
14215256,"(-2.8678491,53.2535153)",Bunbury Arms
14218567,"(-0.7914396,51.5351777)",Red Lyon
14225172,"(-0.5548217,50.8937384)",George and Dragon
14225400,"(-0.5436729,50.8668628)",Black Rabbit
14309693,"(-0.6838078,52.2932345)",Beefeater
14310675,"(-0.7000422,52.3004241)",Oxford Tavern
14310713,"(-0.6984758,52.3061618)",Dun Cow
14310714,"(-0.6978613,52.3065804)",Fox and Hounds
14310718,"(-0.6914233,52.3050076)",Park Tavern
14310719,"(-0.6895833,52.3044928)",The Cannon
14310720,"(-0.6893071,52.3034289)",The Rising Sun
14310722,"(-0.6881225,52.3016)",The Volunteer
14320576,"(-0.6967323,52.2972714)",The Prince of Wales
14329664,"(-1.4837167,51.8346055)",The Royal Oak
14329839,"(-1.5301954,51.9002556)",The Tite Inn
14377859,"(-2.3575832,51.3841374)",The Rising Sun
14384964,"(-1.9474763,50.6421197)",Bankes Arms
14396096,"(-0.9673808,51.447736)",The Hop Leaf
14417331,"(-1.3999631,51.8109888)",The Oxford Yeoman
14420755,"(-0.899508,51.4460592)",The Good Companions
14452058,"(-1.7490029,52.7336342)",The Crown
14497883,"(-0.968637,51.4296331)",The World Upside Down
14497908,"(-0.9606513,51.4533928)",The Retreat
14498014,"(-0.9564094,51.443092)",The Queen's Head
14498040,"(-0.9574186,51.4530341)",The Eldon Arms
14588981,"(-0.7341023,52.6727071)",Grainstore
14592356,"(-1.541428,50.7502284)",The Fishermans Rest 
14592357,"(-1.5451913,50.7413551)",The Chequers
14592358,"(-1.5379804,50.7590969)",The Kings Head
14592361,"(-1.544788,50.7614289)",Borough Arms
14592362,"(-1.5491497,50.7575005)",The Thomas Tripp
14592363,"(-1.5488369,50.7575813)",The Fusion Inn
14592364,"(-1.5521493,50.751816)",The White Hart
14592365,"(-1.5475385,50.7570119)",The King's Arms
14592367,"(-1.5525458,50.7668713)",The Tollhouse Inn
14676763,"(-0.3998667,52.1840597)",The Victoria Arms
14676768,"(-0.4255425,52.1769851)",The Horse and Jockey
14733279,"(-1.1857968,51.8728912)",The Red Lion
14733891,"(-1.2220686,51.8570925)",The Chequers
14762330,"(-2.7947993,53.210279)",The White Horse
14762331,"(-2.7988064,53.2010611)",Stamford Bridge PH
14778096,"(-1.2371531,51.730229)",Prince Of Wales
14806827,"(-0.4618146,51.7648268)",The Royal Stag
14839189,"(-0.9767716,51.4666616)",The Crown
14852164,"(-0.4498307,52.0815359)",The Red Lion
14852170,"(-0.448865,52.0811531)",The Wool Pack
14852701,"(-0.4173239,52.0958189)",The Bell
14860586,"(-2.6072959,51.3670815)",The Queens Arms
14860605,"(-2.610117,51.3657103)",The Pelican
14880450,"(-2.9563016,53.1432711)",Red Lion PH
14883044,"(-3.0005266,53.1474048)",The Royal Oak
14888087,"(-3.0061637,53.1420939)",The Swan
14888813,"(-0.9656239,51.4508224)",The Turks
14888839,"(-0.9509973,51.4494751)",The Fruit Bat
14913973,"(-0.4538951,52.1371808)",The Gordon Arms
14915491,"(-0.9741329,51.4537957)",The Horn
14915860,"(-0.971126,51.4509994)",The Red Lion
14915970,"(-0.974434,51.4547868)",The Allied Arms
14952548,"(-0.500006,51.6569454)",The White Horse
14953051,"(-0.6083572,51.680216)",The Boot and Slipper
14953053,"(-0.6109386,51.701064)",Wild Rover
14953057,"(-0.5347791,51.7249071)",Halfway House
14953059,"(-0.4910589,51.7442932)",Fishery Inn
14953522,"(-0.560055,51.835336)",The Golden Bale
14953523,"(-0.564136,51.8374445)",The Red Lion
14953525,"(-0.5918905,51.8622452)",The Bell
14953526,"(-0.6055622,51.869038)",The Swan
14953532,"(-0.6585445,51.91447)",The Sun
14953544,"(-0.6188584,51.9885278)",The Inn at Woburn
14954030,"(-0.9747363,51.4544299)",Pavlov's Dog
14954031,"(-0.9727493,51.4566581)",The Bugle
14956497,"(-0.4369862,52.113316)",The Gate
15022546,"(-0.4724389,52.1233758)",The South End
15209248,"(-0.1752892,50.8255414)",The Red Lion
15262028,"(-0.1697626,51.5163946)",The Monkey Puzzle
15347216,"(-0.9755289,51.4586935)",The Malthouse [closed]
15347218,"(-0.9756721,51.4580006)",The Gateway
15367196,"(-0.4051648,51.7927601)",The Holly Bush
15417211,"(-1.4555142,51.918508)",The Harrow
15417682,"(-1.4507041,51.922422)",The Crown Inn
15504114,"(-0.1837983,51.8927158)",The Pear Tree
15613923,"(-0.2162719,51.9236227)",Coreys Mill
15613929,"(-0.2063066,51.9081603)",Coach and Horses
15733948,"(-2.65484,53.212662)",Vale Royal Abbey Arms
15738264,"(-0.9743392,51.4534816)",Dogma
15738265,"(-0.9749516,51.4535839)",The Sun
15758157,"(-0.9680768,51.4528091)",Reading International Solidarity Centre
15758159,"(-0.9681175,51.4529322)",Great Expectations
15837691,"(-1.2727276,51.7503881)",The Punter
15870049,"(-0.8994137,51.4990692)",The Plowden Arms
15870064,"(-0.900619,51.531283)",The Three Horseshoes
15870545,"(-0.8407498,51.5537692)",The Dog and Badger
15870912,"(-0.7920777,51.5648807)",The Hare and Hounds
15917644,"(-0.7832795,51.5699175)",The Hand & Flowers
15917645,"(-0.7777005,51.5711605)",The Ship
15917646,"(-0.7768463,51.5724036)",The Carpenters Arms
15917649,"(-0.7725868,51.575051)",The Plow (no longer open)
15917654,"(-0.7667961,51.5787495)",The Britannia
15917670,"(-0.7420702,51.5856104)",The Kings Head
15917671,"(-0.7193971,51.5847548)",The Black Lion
15923121,"(-0.9894817,51.4507202)",Foresters Arms
15946509,"(-0.6897139,51.5810465)",The Old Bell
15946511,"(-0.6821716,51.5882428)",The Red Cow
15946512,"(-0.6697627,51.5997963)",Harvester
15949627,"(-0.6547604,51.6224751)",The Red Lion
15955381,"(-0.9797727,51.4532239)",The Oasis (closed)
15957484,"(-0.9856202,51.456298)",The Queen Elizabeth
16015589,"(-0.9756157,51.4564905)",The Hope Tap
16025447,"(-0.9703182,51.4552707)",The Alehouse
16057597,"(-0.4331518,51.7484369)",The Green Man
16057598,"(-0.4314587,51.7478292)",The Leather Bottle
16059612,"(-0.5869652,51.739167)",The Golden Eagle
16084897,"(-1.571517,50.8202163)",Rose and Crown
16256492,"(-2.7553258,53.2608363)",White Lion PH
16265233,"(-2.7613396,53.277851)",The Horse and Jockey
16483447,"(-1.2827767,51.7452182)",The Fishes
16483511,"(-2.7670775,53.2758082)",Railway Inn
16494140,"(-1.5790772,50.8774989)",Waterloo Arms
16494895,"(-1.5724735,50.8620239)",The Crown Stirrup
16574758,"(-1.4316656,50.8265218)",The Royal Oak
16574759,"(-1.3681068,50.807426)",The Langley Tavern
16575116,"(-1.3985608,50.8258537)",The Bridge
16578903,"(-1.3073601,51.0578146)",The Black Boy
16728448,"(-0.5285889,52.1712305)",Bedford Arms
16728914,"(-2.7203044,53.2895059)",Bull's Head PH
16728915,"(-2.7200872,53.2900333)",Ring o' Bells PH
16737559,"(-1.7471828,52.7332323)",William IV
16797132,"(-1.2738734,51.7521995)",The Holly Bush
16931229,"(-6.3341147,54.1789449)",Brass Monkey
16950535,"(-2.730951,53.2941423)",The Cheshire Cheese
17178114,"(-0.3231293,51.7512271)",The Crown
17286498,"(-2.7068685,53.2811793)",The Travellers Rest
17307227,"(-2.7012636,53.2130746)","Farmers Arms PH, Kelsall"
17308807,"(-0.6872529,51.5310926)",Oak and Saw
17356611,"(-2.7214673,53.3737836)",The Marjors Arms
17356612,"(-2.721184,53.3738195)",The Millfield
17401934,"(-0.3290385,51.7502831)",The Horn
17401937,"(-0.3307385,51.7505791)",The Robin Hood
17401938,"(-0.3324841,51.7508226)",The Victoria
17401942,"(-0.337645,51.7520736)",The Slug and Lettuce
17401943,"(-0.3379642,51.7521383)",O'Neills
17402264,"(-0.3388141,51.7505865)",Barneys
17402266,"(-0.333868,51.748746)",The Farmer's Boy
17402268,"(-0.3320146,51.7477621)",The Great Northern
17573006,"(-0.6594603,51.5331401)",The Old Five Bells
17576462,"(-0.6812412,51.5571899)",The Feathers
17577513,"(-0.6664998,51.5325734)",The Pheasant
17579420,"(-2.7252504,53.2952967)",The Cholmondeley Arms
17708621,"(0.2217539,52.1833197)",Six Bells
17708623,"(0.2239141,52.1783229)",The White Hart Inn
17719249,"(-1.5812093,50.9218241)",The White Hart
17785545,"(0.0023913,51.3834915)",The Pickhurst
17806375,"(-0.221599,51.453407)",The Green Man
17808568,"(1.0002805,52.2232063)",Shoulder of Mutton
17865128,"(-2.3644627,51.3809287)",King of Wessex
17959070,"(-0.3373473,51.752639)",Waterend Barn
17959080,"(-0.3360435,51.7544479)",The Cock
17959081,"(-0.3357395,51.7546858)",Blacksmith's Arms
17959842,"(-0.3323992,51.7536315)",The Mermaid
17959939,"(-0.3332662,51.754019)",The Peacock
18008860,"(-2.6674289,53.1565342)",The Rising Sun
18008861,"(-2.6691107,53.1595065)",Rising Sun PH
18026688,"(-0.3402027,51.7512433)",The Boot
18085511,"(-1.909562,53.3248885)",Shoulder of Mutton
18085755,"(-1.9153973,53.3231212)",The Royal Oak
18085766,"(-1.9157781,53.3235505)",The Roebuck
18085799,"(-1.9194502,53.3221444)",New Inn
18085955,"(-1.9161445,53.3231121)",Kings Arms Hotel
18085956,"(-1.9157502,53.3230646)",The Dog
18086496,"(-1.9392183,53.3040719)",The Beehive Inn
18086509,"(-1.9397241,53.3165597)",Hanging Gate
18088578,"(-0.2010027,51.5442632)",The Luminaire
18161364,"(0.2091218,52.1851233)",Baker's Arms
18176101,"(0.1720181,52.1858327)",Red Lion
18234117,"(-1.243883,51.71838)",The Tandem
18235090,"(-0.2266975,51.4628591)",The Arab Boy
18236569,"(-1.2819722,51.7018012)",The Flowing Well
18288059,"(-0.6656328,52.5750641)",George and Dragon
18297218,"(-0.7373296,52.6683287)",The Horseshoe
18331758,"(-0.547809,53.2304649)",Horse and Groom
18331810,"(-0.5436811,53.2235776)",The Anchor
18335245,"(-1.5021989,51.8229896)",The Bird In Hand
18337169,"(-0.5156661,52.6458697)",The Crown
18337251,"(-0.55042,52.633011)",The Northwick Arms
18337815,"(-0.7221277,52.5875647)",The Vaults
18352157,"(0.1725671,52.2203825)",Ancient Shepherds
18352566,"(0.168104,52.2240008)",The Plough
18352757,"(-0.7183681,52.5882113)",Waggon and Horses
18354347,"(-0.5514409,52.62732)",The Railway
18356641,"(-0.6707535,52.6591446)",The Finch's Arms
18360921,"(-1.8727011,51.545096)",Sally Pussey's Inn
18374008,"(-0.7257115,52.6725981)",Odd House Tavern
18375315,"(-0.5294199,52.6136226)",The Collyweston Slater
18375436,"(-0.5073611,52.624705)",The Oak Inn
18375437,"(-0.4768053,52.6481021)",The Bull and Swan
18376347,"(-0.7298304,52.6704048)",The Merry Monk
18377653,"(-0.6838065,52.6167673)",The Kings Arms
18378618,"(-0.5457211,53.2175551)",Shakespeare
18379788,"(-0.703123,52.6323283)",The Horse and Jockey
18379826,"(-0.6336622,52.6902944)",The Fox and Hounds Inn
18394385,"(-0.5446779,53.2216028)",City Vaults
18395317,"(-0.5433163,53.224267)",The Ritz
18395763,"(-0.5385539,53.2343344)",Magna Carta
18395777,"(-0.5388074,53.2341528)",Wig and Mitre
18396823,"(-0.5397891,53.2289965)",The Still
18461613,"(-1.5993504,51.854145)",The Lamb Inn
18461924,"(-1.5293842,51.8369219)",The Navy Oak
18660065,"(-0.6337866,52.5938255)",White Horse Inn
18668511,"(-0.7274061,52.5885867)",Exeter Arms
18668512,"(-0.7206003,52.5874395)",The Cross Keys
18668567,"(0.13442,52.2003773)",Six Bells
18720117,"(-1.1175961,52.6745492)",The White Horse
18720135,"(-1.1186114,52.6751542)",The Old Plough
18899035,"(-0.7129228,52.6127774)",Kingfisher Inn
18946234,"(-1.4812502,51.7905597)",The Court Inn
19031142,"(-1.1189373,52.6761356)",Earl of Stamford
19040418,"(-1.1219502,52.6831488)",The Trees
19042305,"(-0.5859297,50.9795472)",The Welldigger's Arms
19042306,"(-0.5041669,51.0246538)",The Cricketers' Arms
19042307,"(-0.4894131,51.0322353)",The Bat and Ball
19042308,"(-0.4720856,51.0187097)",The Limeburners
19042432,"(-0.5151818,51.0702987)",The Onslow Arms
19049213,"(-2.3056055,51.1168213)",Red Lion
19447080,"(-2.2192609,52.1983475)",The Arboretum (closed)
19453027,"(-2.7667878,53.1215571)",The Sportsmans Arms
19453030,"(-2.7672498,53.1217881)",Letters Inn
19577088,"(-0.6668237,52.7117589)",The Sun Inn
19683408,"(-2.7966903,53.1146048)",The Calveley Arms
19794398,"(-0.1200912,52.3329469)",Three Horseshoes Inn
19809385,"(-1.9793208,50.8195042)",The Stocks Inn
19826194,"(-1.946243,50.8665906)",Drusilla's Inn
19828422,"(-0.4224129,51.3902487)",The Anglers
19851852,"(0.1463364,52.2109684)",The Wrestlers
19854379,"(1.1108742,52.0018518)",Tattingstone White Horse
19854380,"(1.0983395,51.9894571)",The Wheatsheaf
20081080,"(0.1472088,52.1442633)",The Three Horseshoes
20081192,"(0.1481958,52.1433358)",The Rose
20081193,"(0.1518962,52.1439942)",The Tree
20081223,"(0.1355124,52.1503748)",The Plough
20081226,"(0.1337443,52.1487948)",Square and Compasses
20081405,"(0.1397008,52.1482261)",Railway Tavern
20215344,"(1.1663491,52.0121553)",The Boot
20215346,"(1.1502785,52.0330594)",The Oyster Reach
20255666,"(-3.0777169,53.1023665)",Cross Keys
20256587,"(1.1570085,51.9850297)",The Swan
20458787,"(0.1422292,52.1984389)",Earl of Beaconsfield
20458870,"(0.1472394,52.1991085)",The Empress
20557809,"(-0.2868506,51.2330833)",The Royal Oak
20574414,"(-0.6098377,51.486289)",Waterman's Arms
20576176,"(-0.0070767,51.325141)",White Bear
20590656,"(-0.3246056,51.2529436)",The Stepping Stones
20599415,"(-0.2118839,51.238649)",Blue Anchor
20599947,"(-0.2577041,51.2105348)",The Seven Stars
20599954,"(-0.3383204,51.2359191)",The Pilgrim
20600035,"(-0.3123369,51.2381874)",The Watermill
20605659,"(-0.2661495,51.2336498)",The Dolphin Inn
20605721,"(-0.3248432,51.2399854)",The Lincoln Arms
20611278,"(-0.2403384,51.2429995)",The Jolly Farmers
20623420,"(-0.3152063,51.2183552)",Royal Oak
20627020,"(-0.3274547,51.2953302)",The Edmund Tylney
20627140,"(-1.1325153,52.6588567)",The Tom Hoskins
20627144,"(-1.1333969,52.6579348)",The Broadway
20628579,"(-0.3354979,51.2318347)",The King's Arms
20629052,"(-0.2836248,51.2400532)",The Arkle Manor
20632761,"(-2.8083527,53.0571569)",The Fox and Hounds
20632762,"(-2.8088838,53.0570715)",The Carden Arms
20632853,"(-2.8256183,53.0815543)",Cock o' Barton PH
20692145,"(-0.3302001,51.2954954)",The Penny Black
20695067,"(-0.329778,51.3029905)",The Plough
20695794,"(-0.3322357,51.2944679)",The Running Horse
20821133,"(-0.1777114,51.5003932)",The Union Bar
20822359,"(-0.2054077,51.2373012)",The Bell
20823843,"(0.1303831,52.2047799)",The Free Press
20823855,"(0.1294263,52.2051547)",The Elm Tree
20824010,"(0.1278783,52.2124125)",Fort St George in England
20826694,"(0.1391899,52.2023787)",Cambridge Blue
20826845,"(0.1365861,52.20485)",Man On The Moon
20826851,"(0.1339708,52.205421)",The Snug (at The Vine)
